answer,question
Vacuole,"A Vacuole is a membrane-bound organelle. They are a kind of vesicle. Vacuoles are closed sacs, made of membranes with inorganic or organic molecules inside, such as enzymes. They have no set shape or size, and the cell can change them as it wants. They are in most eukaryotic cells and do many things. They can store waste. Vacuoles and their contents are considered to be distinct from the cytoplasm, and are classified as ergastic according to some people. The solution that fills the vacuole is called cell sap."
Multiplication,Multiplication is an arithmetic operation for finding the product of two numbers.
Gel electrophoresis,"Gel electrophoresis is a technique used to separate mixtures like DNA and proteins. The separation is based on how positively or how negatively charged a molecule is, and its size. Gel electrophoresis uses a gel (like gelatin) and an electric field is put through the gel."
Bacteriophage,A bacteriophage is a virus that infects bacteria.  The term is commonly shortened to phage.
Vitamin C,"Vitamin C, also known as ascorbic acid, is a vitamin. It is found in fresh fruits, berries and green vegetables. It is one of the water soluble vitamins."
Compiler,"A compiler is a computer program that translates instruction text into a different language of instruction text. The first language is called the source language, which is why instruction text is called source code. The second language, called the target, is usually for the computer to follow. In that case, the instructions become machine code."
Arsenic,Arsenic is chemical element 33 on the periodic table.  Its symbol is As. Its atomic number is 33 and its atomic mass is 74.02. It is in the pnictogen group on the periodic table.
Cellulose,Cellulose is the main chemical that forms the main structure of plants.
Work (physics),"In physics, a force does work when it acts on a body and there is a displacement of the point of application in the direction of the force."
Melanin,Melanin is a special pigment of the epidermis. It helps protect the body from the sun's radiation. This pigment contributes to the color of the skin and is produced deep within the layers of the epidermis.
Boron,Boron is a chemical element. It has the chemical symbol B. It has the atomic number 5. It is a metalloid (it has properties of a metal and a non-metal). Much boron is found in chemical compounds in its ore borax. Boron is never found free in nature.
Pythagorean theorem,"In mathematics, the  Pythagorean theorem or Pythagoras's theorem is a statement about the sides of a right triangle."
Xenon,XeTube.jpg|thumbnail|Xenon in shaped Geissler tubes.
Meson,"Mesons are incredibly small subatomic particles that are made of one quark and one antiquark. Antiquarks are the antimatter counterpart of a regular quark, meaning that in a fraction of a second, a quark and its antiquark will destroy each other to produce only energy. Since antimatter quarks have the opposite spin of regular quarks, their spins can cancel each other out, which forms a particle similar to a Higgs Boson. The name meson comes from Greek ""mesos"", meaning middle. This is because the masses of the first mesons discovered were between the mass of light particles like electrons, called leptons, and heavy particles like protons, called baryons."
Human Genome Project,The human genome is stored on 23 chromosome pairs in the cell nucleus and in the small mitochondrial DNA. A great deal is now known about the sequences of DNA which are on our chromosomes. What the DNA actually does is now partly known. Applying this knowledge in practice has only just begun.
Pleiades,"The Pleiades (also known as M45 or the Seven Sisters) are a group of stars in the night sky. You can see them in the constellation Taurus, the bull. Charles Messier gave it the name M45. They are named after the Pleiades in Greek mythology."
Tuberculosis,"Tuberculosis, or TB for short, is an infectious disease caused by bacteria. It used to be called consumption."
Archaea,"The Archaea (or Archea) are a group of single-celled organisms. The name comes from Greek αρχαία, ""old ones"". They are a major division of living organisms."
Glass,"Glass is a hard material that can be made in many shapes. It is usually transparent, but it can also be made in colours. Glass is made of sand that is heated until it is liquid. When it is liquid, it is shaped and left to cool."
Chordate,"Chordata is a phylum (group) of animals which have a notochord. The group includes vertebrates, with some closely related invertebrates."
Prion,"A prion is an infectious protein. The word is short for ""proteinaceous infectious particles""."
Prisoner's dilemma,"The prisoner's dilemma is a paradox  about co-operation. It hows why two ""rational"" individuals might not co-operate, even if it seems in their best interests. It is studied in game theory."
Elasticity (physics),:Economic elasticity is at elasticity (economics)
Acid,:The article about certain properties of databases is at ACID
Glycolysis,Glycolysis  is a metabolic process in most organisms. It is the first stage in cellular respiration. It allows both aerobic  and anaerobic respiration. Glycolysis releases only a small amount of energy.
Lactose,"Lactose is a disaccharide that consists of galactose and glucose molecules. Lactose makes up around 2-8% of the solids in milk. The name comes from the Latin word for milk, plus the -ose ending used to name sugars. Lactose is found in milk products."
Discriminant,"In algebra, the discriminant of a polynomial that is equal to zero with real or complex coefficients is a certain expression in these coefficients of the polynomial if and only if the polynomial has a multiple root (for example, a root with multiplicity greater than one) in the complex numbers."
Graphite,"Graphite, like diamond, is an allotrope of carbon. They are very similar to each other but the structure of the atom affects the chemical and physical properties. Graphite is made of layers of carbon atoms. These layers can slide over each other very easily. This means that it is very soft. It is a dull gray in appearance. Due to the delocalized electrons between the layers, it can conduct electricity very well."
Albinism,"Albinism is a condition some people and animals are born with. This condition is caused by a lack of pigment (colour) in their hair, eyes, and skin. A person or animal with albinism is called an albino, but people may  prefer to be called a ""person with albinism""."
Stamen,"A stamen is a male reproductive organ of a flower. It produces the pollen. The stamen has two parts: the anther, and the stalk. The stalk is also called the filament."
Potassium,"Potassium is a chemical element in the periodic table. It has the symbol K. This symbol is taken from the Latin word kalium. Potassium's atomic number is 19. It has 19 protons and electrons. Potassium is not found as an element in nature, because it is so reactive."
Eigenvalue,"Linear algebra talks about functions, which are often called transformations. In that context, an eigenvector is a vector -- different from the null vector -- which does not change direction in the transformation (except if it turns the vector exactly around). The vector may change its length, or become null. The value of the change in length of the vector is known as eigenvalue."
Steroid,"A steroid is a chemical, either natural or man-made, which has four cycloalkane rings in its structure."
Inertia,"Inertia is the resistance of an object to any change in its motion, including a change in direction. An object will stay still or keep moving at the same speed and in a straight line, unless it is acted upon by an outside force."
Glutamic acid,"Glutamic acid is a non-essential amino acid. Its salts are known as glutamates. Glutamate are important neurotransmitters. They are important for long-term potentiation, learning and memory. Glutamates are also used as food additives: They make flavour better. The E numbers 620 to 625 have been assigned to the most important glutamates. They are commonly found in Convenience food and Asian cuisine."
Continental drift,Continental drift is a historical theory. The theory was first proposed by Abraham Ortelius in 1596. It was fully developed by the German geologist and meteorologist Alfred Wegener in 1915.
Torque,Image:Fysik vridmoment.png|frame|Torque applied via an adjustable end wrench
Humphry Davy,"Sir Humphry Davy, 1st Baronet, FRS (Fellow of the Royal Society) (born 17 December 1778 in Penzance, Cornwall, England; died 29 May 1829 in Geneva City, Switzerland), was a chemist whose study of electrochemistry led to the first pure forms of some of the chemical elements such as potassium and sodium."
Wolfgang Pauli,"Wolfgang Ernst Pauli (25 April 1900 – 15 December 1958) was an Austrian theoretical physicist known for his work on spin theory, and for the discovery of the pauli exclusion principle, which is important for the structure of matter and the whole of chemistry. He was given the Nobel Prize in Physics in 1945."
Torus,"A Torus is a shape from geometry that is obtained by rotating a circle in 3D space. To obtain a torus, the point around which the rotation occurs must be in a plane with the center of the circle. If the point of rotation lies outside the circle, the shape of the torus will have a hole, and the torus will be called ring torus."
Myoglobin,"Myoglobin is a protein that is able to bind oxygen. Myoglobin, which is similar to haemoglobin, is the main oxygen-carrying pigment of muscle tissues. Like haemoglobin, it has a porphyrin ring with an iron atom at its centre. It is in the muscle tissue of most mammals. Seals and other marine mammals have more myoglobin in their muscles than land animals."
Ethernet,Ethernet is a way of connecting computers together in a local area network or LAN. It has been the most widely used method of linking computers together in LANs since the 1990s. The basic idea of its design is that multiple computers have access to it and can send data at any time. This is comparatively easy to engineer.
Acetone,{{Chembox
Rainbow,"A rainbow is an arc of color in the sky that can be seen when the sun shines through falling rain. The pattern of colors starts with red on the outside and changes through orange, yellow, green, blue, indigo to violet on the inside."
Leprosy,"Leprosy is an infectious disease. It has been known for a very long time. Today, it is mostly called Hansen's disease, named after the person who discovered the bacterium, Gerhard Armauer Hansen. It is caused by a bacterium, Mycobacterium leprae. A person with leprosy is called a leper."
Evaporation,"Evaporation is when a liquid becomes a gas without forming bubbles inside the liquid volume. If bubbles are formed we are talking instead about ""boiling""."
Cytokine,"Cytokines are signalling molecules made by cells. They help to control the immune system and fight disease. They are similar to hormones and, as we learn more about each, distinctions between the two are fading."
Time,"We use time to sequence events, to compare their durations and the intervals between them, and to quantify the speed at which objects move and things change."
Formaldehyde,Formaldehyde (or Methanal) is a chemical compound.
Dynamic programming,"Dynamic programming  is a method of solving problems, which is used in computer science, mathematics and economics. Using this method, a complex problem is split into simpler problems, which are then solved. At the end, the solutions of the simpler problems are used to find the solution of the initial problem. Dynamic programming can be used in the cases where it is possible to split a problem into many smaller problems, which are all quite similar. Richard Bellman, an US mathematician first used the term in the 1940s, when he wanted to solve problems in the field of Control theory. He also stated what is known as Bellman's Principle of Optimality today:"
Python (programming language),Python is an open source programming language that was made to both look good and be easy to read. It was created by a programmer named Guido van Rossum in 1991. The language is named after the television show Monty Python's Flying Circus and many examples and tutorials include jokes from the show.
Cobalt,Cobalt (chemical symbol Co) is a chemical element. It has an atomic number of 27 and an atomic mass of about 59. It is a metal.
Escape velocity,"Escape velocity is the initial speed that something would need to completely escape the gravity of a large body, like a star or a planet (such as the Earth), by mere inertia."
Semiconductor,"A semiconductor is a material that in some cases will conduct electricity but not in others. Good electrical conductors, like copper or silver, easily allow electricity to flow through them. Materials that block the flow of electricity, like rubber or plastic, are called insulators. Insulators are often used to protect people from electric shock. As the name implies, a semiconductor does not conduct as well as a conductor. Semiconductors are the foundation of modern electronics."
Caesium,Caesium (or cesium) is the chemical element with the atomic number 55 on the periodic table. Its symbol is Cs.
Potential energy,Potential energy is the stored or pent-up energy of an object. It is often contrasted with kinetic energy.
Lithium,"Lithium (from Greek lithos 'stone') is a soft, silver-white metal with symbol Li. It is the third chemical element in the periodic table. This means that it has 3 protons in its nucleus and 3 electrons around it. Its atomic number is 3. Its mass number is 6.94. It has two common isotopes, 6Li and 7Li. 7Li is more common. 92.5% of lithium is 7Li. Lithium is a soft silvery metal that is very reactive. It is used in lithium batteries and certain medicines."
Benzene,"Benzene, also known as  benzol, is an organic chemical compound with the formula C6H6. It is a colorless and flammable liquid with a sweet smell. Benzene molecules are a ring of six carbon atoms that are each bonded to one hydrogen atom. It is an aromatic compound, meaning the ring has alternating double bonds."
Nicolaus Copernicus,"Nicolaus Copernicus  19 February 1473 – 24 May 1543) was an astronomer. People know Copernicus for his ideas about the sun and the earth. His main idea was that our world is heliocentric (helios = sun). His theory was that the sun is in the middle of the solar system, and the planets go around it. This was published in his book, De revolutionibus orbium coelestium (On the revolutions of the heavenly spheres)."
Neptune,"Neptune (), () is the eighth and last planet from the Sun in the Solar System. It is a gas giant. It is the fourth largest planet and third heaviest. Neptune has four rings which are hard to see from the Earth. It is 17 times heavier than Earth and is a little bit heavier than Uranus. It was named after the Roman God of the Sea."
Big Bang,:
Galileo (spacecraft),Galileo was an unmanned NASA spacecraft. It explored the planet Jupiter and its moons. Galileo was launched in 1989 and it arrived at Jupiter in 1995.
Selenium,Selenium is a chemical element. Its chemical symbol is Se and its  atomic number is 34. It has 34 protons and 34 electrons and a mass number of 78.96.
Magellanic Clouds,"The Magellanic Clouds are two irregular, dwarf galaxies. They do not have a regular shape, and only have a few billion stars. The Magellanic Clouds can only be seen from the southern hemisphere. They orbit the Milky Way galaxy. They are part of a group of over 50 galaxies (including the Milky Way) and are in the Local Group of galaxies.  The two clouds are known as the:"
Cancer (constellation),"Cancer () is one of the twelve constellations of the zodiac. The name is Latin for crab. Its symbol is  (). Cancer is small and the stars are dim. It is between Gemini to the west and Leo to the east, Lynx to the north and Canis Minor and Hydra to the south."
Urea,"Urea is an organic compound. It was first found in urine in 1773 by the French chemist Jean Rouelle. It is also called Carbamide, and its chemical names are Carbonyl Diamide (used in inorganic chemistry) and Diaminomethanal (used in organic chemistry)."
Gamma-ray burst,Gamma-ray bursts (GRBs) are flashes of gamma rays from extremely energetic explosions. They have been seen in distant galaxies. They are the most luminous electromagnetic events known to occur in the universe.
Cepheid variable,Cepheids are a type of very luminous variable stars. There is a strong direct relationship between a Cepheid's luminosity and pulsation period. This makes Cepheids important standard candles for the galactic and extragalactic distance scales.
Oort cloud,Kuiper_belt_-_Oort_cloud-en.svg|thumb|280px|Artist's idea of the Oort Cloud and the Kuiper Belt
Ganymede (moon),<!--
Leo (constellation),Leo is one of the constellations of the zodiac. Its name is Latin for lion. Its symbol is  (). Leo lies between dim Cancer to the west and Virgo to the east.
Edwin Hubble,"Edwin Powell Hubble  (November 20, 1889 – September 28, 1953) was an American astronomer. Hubble's findings changed the scientific view of the universe."
Devonian,"The Devonian is the period of the Paleozoic era from about 419 million years ago (mya) to about 359 mya. It is named after Devonshire, England, where rocks from this period were first studied."
Polaris,"Polaris, or Alpha Ursae Minoris, is the Pole Star or North Star."
Pauli exclusion principle,"The Pauli exclusion principle refers to the fact that certain particles cannot be at the same place at the same time, with the same energy. Only fermions (examples are protons, neutrons and electrons) are bound by the Pauli exclusion principle, while bosons (an example is a photon - light beam) are not. A more precise way to describe the Pauli exclusion principle is to say that two of the same kind of fermions cannot have the same quantum numbers. This principle was discovered by physicist Wolfgang Pauli in 1925. It is a very important principle in physics, because the particles that make up ordinary matter are fermions."
Raoult's law,"Simply put, Raoult's law states that the vapour pressure, of a binary solution, containing a non-volatile solute, is directly related to the mole fraction of solvent (i.e. volatile) in the solution."
Galileo Galilei,"Galileo Galilei  (15 February 1564 – 8 January 1642) was an Italian astronomer, and instrument maker. He ran into conflict with the Catholic Church of his day, and was put on trial for heresy by the Inquisition."
Dark energy,Dark energy is the name given to the force that is believed to be making the universe larger. Distant galaxies appear to be moving away from us at high speed: the idea is that the universe is getting bigger and has been since the Big Bang. Measurements are now good enough to allow astronomers to tell that these galaxies seem to be accelerating away from us. The universe is expanding at an ever-increasing rate.
Black body,"Black-body radiation is radiation produced by heated objects, particularly from a kind of special object that is made so it will absorb all radiation (visible light, infrared light, ultraviolet light, etc.) that falls on it, and so that it will also radiate at all frequencies that heat energy produces in it."
Wave,A wave is a disturbance in the medium which causes the particles of the medium to undergo vibratory motion about their mean position. The motion repeats in equal intervals of time and can be described by a periodic function.
Gametophyte,"The term alternation of generations is used to describe a process in the life cycle of  some eukaryotes. It describes an alternation in forms which occurs in plants and some protists. One form is diploid, with 2n chromosomes: the sporophyte. The other form is haploid with only one set of chromosomes: the gametophyte. Both forms are multicellular."
Amniocentesis,"Amniocentesis is the name of a medical tests that is often performed when screening babies. The test consist of taking a little Amniotic fluid, and testing this fluid. This fluid contains tissue of the embryo or fetus, and allows to determine the sex. It also allows to find certain birth defects."
Armadillo,"Armadillos are in the Cingulata, an order of New World placental mammals. The living ones have a leathery armored shell. The word armadillo is Spanish for ""little armored one""."
Peyote,"Peyote, also called mescal-button, is two species of the cactus genus Lophophora of plants in the family Cactaceae."
Phenylketonuria,"Phenylketonuria (PKU) is a genetic disorder (a disease a person is born with) where a person's body cannot break down an amino acid called phenylalanine. Amino acids are necessary to make proteins, an important part of the human body. Phenylalanine only comes from the food we eat; our bodies do not make any by themselves."
Phobos (moon),Phobos (or Mars I) is one of Mars' moons. The other is Deimos.
Carrying capacity,"In biology, the carrying capacity of an environment is the number of organisms that can live there without harming the environment. If too many organisms live in an environment, it is called overpopulation."
Plasmid,plasmid (english).svg|300px|thumb|right|Figure 1: Illustration of a bacterium with plasmid enclosed showing chromosomal DNA and plasmids.
Psoriasis,"Psoriasis is a skin condition where cells grow at a faster rate than they can be shed, causing excess skin to build up and form scaly patches on the body."
Nitric oxide,Nitric oxide also known as nitrogen monoxide is a chemical compound. It contains nitrogen in its +2 oxidation state. It has the chemical formula NO. It contains nitrogen and oxide ions.
Y chromosome,"The Y chromosome is a chromosome that decides the sex in most mammals, including humans. It contains the gene SRY, which triggers testis development, so making an animal male or female."
Femur,The femur is the thighbone in tetrapods. It connects to the pelvis (hip) at the upper end and to the knee at the lower end. It connects with the hip by a ball-and-socket joint which allows freedom of movement.
Cholera,"Cholera is an infectious disease. It is caused by a bacterium Vibrio cholerae. This bacteria usually lives in water. Vibrio cholera is more common where fresh water mixes with salt water, like where rivers enter the ocean. It is more common in water with lots of algae."
Interferon,"Interferons (IFNs) are proteins released by body cells in response to pathogens such as viruses, bacteria, parasites or to tumor cells. They allow cells to trigger the defenses of the immune system."
Gastrulation,Gastrulation is a phase early in the development of most animal embryos. In it the embryo is dramatically restructured by cell migration.
Marcello Malpighi,"Marcello Malpighi (10 March 1628 – 29 November 1694) was an Italian doctor, who gave his name to several physiological features, like the Malpighian tubule system."
Aneurysm,"An aneurysm (or aneurism) is a blood-filled bulge of a blood vessel. It is usually caused by disease or by the walls of the blood vessel becoming weak. Aneurysms usually happen in arteries at the base of the brain and in the aorta (the main artery coming out of the heart) - this is an aortic aneurysm. This bulge in a blood vessel can burst or break open and cause the person to die at any time. The larger an aneurysm becomes, the more likely it is to burst. Aneurysms can be treated."
Enzyme,"Enzymes are protein molecules in cells which work as catalysts. Enzymes speed up chemical reactions in the body, but do not get used up in the process."
Christiaan Barnard,"Christiaan Neethling Barnard (8 November 1922 – 2 September 2001) was a South African heart surgeon. He was born in Beaufort West, Cape Province, Union of South Africa. He did the first successful heart transplant from human to human. He died of asthma in Paphos, Cyprus. His brother was Marius Barnard."
Light-independent reactions#Calvin Cycle,"Light-independent reactions take place in plant chloroplasts. In this process sugars are made from carbon dioxide. The process, known as the Calvin cycle, uses products of the light-dependent reactions (ATP and NADPH) and various enzymes. Therefore, the light-independent reaction cannot happen without the light-dependent reaction. Sugars made in the light-independent reactions are then moved around the plant by translocation."
Edward Jenner,Edward Jenner (17 May 1749 – 26 January 1823) was an English physician known for creating the vaccine for smallpox.
Rosalind Franklin,"Rosalind Franklin (Notting Hill, London, 25 July 1920  London, 16 April 1958) was a British biophysicist, known for her contributions to the discovery of the structure of DNA. She also worked on coal, studies of RNA, and viruses. She was one of the first people to do X-ray crystallography on DNA. The work of Franklin and the graduate student Raymond Gosling were used by Watson and Crick in their effort to discover the structure of DNA."
Rickettsia,"Rickettsia is a unique genus classified between a virus and a bacteria. The organism is unique in that it has a cell wall and exists only in living cells like a virus, but is susceptible to antibiotics like a bacteria."
Robert Koch,"Robert Koch (11 December 1843 - 27 May 1910) was a German doctor. He won the 1905 Nobel Prize in Physiology or Medicine, for studying tuberculosis."
Technetium,Technetium is a chemical element. It has the chemical symbol Tc. It has the atomic number 43. The color of technetium is silvery-grey. It is radioactive. It is a crystaline metal. In chemistry it is placed in a group of metal elements named the transition metals. The chemistry of technetium is somewhere between rhenium and manganese.
Amphibian,"Amphibians are members of the class Amphibia. The living ones are frogs (including toads), salamanders (including newts) and caecilians. They are four-legged vertebrates which are cold blooded."
Prostate,The prostate is a gland of the male body that adds part of the fluid to semen. A healthy human prostate is slightly larger than a walnut. It surrounds the urethra just below the urinary bladder.
Cochlea,"The cochlea is the auditory portion of the inner ear. It is a spiral-shaped cavity in the bony labyrinth, making 2.5 turns around its axis."
Transfer RNA,Translation is the second part of protein biosynthesis (the making of proteins). It is part of the process of gene expression.
Follicle-stimulating hormone,"Follicle-stimulating hormone (abbreviated FSH, sometimes called Follitropine) is a glycoprotein and sex steroid. It is synthesised in the pituitary gland. In females it will cause the growth of follicles in the ovaries, in males, it will lead to the production of sperm. Other hormones control the release of FSH. Luteinizing hormone will cause ovulation in females, or the production of testosterone in males."
Hypothalamus,"The hypothalamus is a gland at the base of the brain. It connects the endocrine system to the nervous system. The word hypothalamus is a Greek word which means ""under the thalamus""; it is used because hypothalamus is below the thalamus, and above the brain stem."
Glaucoma,"Glaucoma is a disease that causes damage to the eye. If a person who has glaucoma does not get help from a doctor, they will not be able to see."
Vermiform appendix,"In human anatomy, the appendix (other names vermiform appendix;  cecal (or caecal) appendix; vermix) is a blind ended tube connected to the cecum (or caecum)."
Poliomyelitis,"Poliomyelitis or polio is a virus that causes a serious disease. It is spread from person to person. Most of the time, polio has no symptoms unless it goes into the blood. It is uncommon for it to enter the brain or spinal cord. If this does happen, it can cause muscles to become paralyzed. Some people get better from the paralysis, others will be disabled and depending on which muscles have been affected may need a mobility aid or wheelchair, or may have difficulty using their hands or even breathing. About 15 out of every 10000 adults (a 0.015% chance) who get polio die."
Larynx,"The larynx (plural larynges), also known as the voice box, is an organ in the neck of humans and animals. It  helps to protect the wind pipe by stopping it from inhaling food. It also helps with breathing and making sounds. The larynx houses the vocal cords."
Salmonella,"Salmonella is a genus of bacteria. It is a major cause of illness throughout the world. The bacteria are generally passed on to humans by eating or drinking food of animal origin which has the bacteria in it, mainly meat, poultry, eggs and milk. Bacteria from the genus Salmonella can cause diseases, such as diarrhea, Cholera and typhus. These bacteria are zoonotic, meaning they can infect both animals and humans."
Endoplasmic reticulum,"Endoplasmic reticulum (ER) is a cellular organelle. It is the transport network for molecules going to specific places, as compared to molecules that float freely in the cytoplasm."
Pineal gland,The pineal is a small endocrine gland in the middle of the brain of humans and other vertebrates. It makes and releases the hormone named melatonin.
Alpha helix,.
Blue,"Blue is one of the colors of the rainbow that people can see. It is one of the three primary colors, along with red and yellow. It has the shortest wavelength of these colors (about 470 nanometers)."
Bile,"Bile or gall is a green-yellow fluid. It is secreted from the liver of most vertebrate animals, and is often stored in the gall bladder. Bile helps digest fat."
Trilobite,"Trilobite (meaning ""three lobed"") are extinct arthropods. Their name is in reference to the three round parts, called lobes, across their heads (cephalon), consisting of a slightly raised central lobe (the axis) and two flatter pleural lobes on either side. The entire bodies were also divided into three: the head (cephalon), thorax (chest) made up to a group of up to 30 segments and the tail (pygidium). Underneath and rarely preserved are three pairs of legs for the head and paired legs for each pleural groove. Trilobites are the earliest known animal to have vision. Some possessed eyes and some seem to have no eyes at all, while others had eyes made up of many parts that could see all around the animal.  Trilobites ranged in length from  to , with a typical size range of . The world's largest trilobite, Isotelus rex, was found in 1998 by Canadian scientists on the shores of Hudson Bay."
Dysentery,"Dysentery is a disease that involves severe diarrhea. It is caused by a bacterium, which causes the intestines to swell up a lot. The main symptom of dysentery is having blood in the excrement. Some more symptoms are high fever and abdominal pain. It is usually treated with antibiotics."
Restriction enzyme,"A restriction enzyme is an enzyme that cuts DNA at particular places. It works at or near specific recognition nucleotide sequences known as ""restriction sites"".  To cut DNA, all restriction enzymes make two incisions, once through each strand of the DNA double helix."
Intron,An intron is a non-coding sequence in a gene.
Vacuum,"A vacuum is a place where there is no matter. Sound cannot move in a vacuum. Outer space is not a perfect vacuum, because there is a very small number of particles there. A vacuum cleaner is a device that cleans dirt from floors. Sometimes it is just called a vacuum. Vacuum chambers are also used in many physics experiments involving environments with no matter."
Mimicry,"In biology, mimicry is when a species evolves features similar to another. Either one or both are protected when a third species cannot tell them apart. Often, these features are visual; one species looks like another; but similarities of sound, smell and behaviour may also make the fraud seem more real."
3 (number),The number three(3) is one more than two and one less than four. It is the first Mersenne prime. Three is an important number for many cultures (groups of people living together). 
Kin selection,"Kin selection or kin altruism is a form of natural selection. Some animals cooperate with relatives, even if this brings risk to themselves. The classic example of this is seen in the family life of mammals, or in colonial insects such as ants."
Penicillin,"Penicillin is a common antibiotic, used to treat bacterial infections. It was one of the first to be discovered, and worked well against staphylococci and streptococci. Many strains of baceria are now resistant. Chemists keep changing part of its structure in the effort to keep it working against the bacteria."
Theodor Schwann,"Theodore Schwann (7 December 1810 – 11 January 1882) was a German scientist who isolated and named the enzyme pepsin. He also played a key role in promoting the idea of the cell as the foundation of living organisms. His work on the cell has recently been re-assessed, because the idea had been discussed before him."
Electron transport chain,"Electron transfer chains (ETC) are the cellular mechanisms used for getting energy from sunlight in photosynthesis. They also occur in redox reactions, such as the oxidation of sugars in cellular respiration."
Vitamin K,"Vitamin K is a vitamin which is soluble in fat. It is probably best known for its role in the coagulation (clotting) of blood. However, it also serves other important functions in the body."
Permian,"The Permian is a geological period which started about 299 million years ago (mya), and ended about 252 mya. It is the last period of the Paleozoic era, and ended in the largest mass extinction known to science."
Chitin,"Chitin (C8H13O5N)n (IPA: [ˈkaɪtn̩]) is a long-chain polymeric polysaccharide of beta-glucose that forms a hard, semitransparent material found throughout the natural world. is a semitransparent material that is the main component of the exoskeletons of arthropods, such as crustaceans (e.g. crab, lobster and shrimp) and insects (e.g. ants, beetles and butterflies), of the cell walls of fungi, the radula of molluscs and the beaks of cephalopods (e.g. squid, and octopuses). Chitin has also proven useful for several medical and industrial purposes."
Epstein-Barr virus,"The Epstein–Barr virus (EBV), also called human herpesvirus 4 (HHV-4), is one of eight viruses in the herpes family. It is one of the most common viruses in humans."
Escherichia coli,"Escherichia coli or E. coli is a bacterium that can be found in human intestines.  Scientists have studied E. coli very well, and know more about how E. coli cells work than any other organism. E. coli is not always harmful. In fact, the only known harmful strand is O157."
Caenorhabditis elegans,Caenorhabditis elegans is a species of roundworm or nematode. It is important because much research has been done on its genetics and development.
Meninges,"The meninges are the membranes around the central nervous system. In mammals, the meninges have three layers: the dura mater, the arachnoid mater, and the pia mater. The main thing that the meninges and the fluid inside the spine (cerebrospinal fluid) do is protect the central nervous system."
Paul Ehrlich,"Paul Ehrlich (14 March 1854 – 20 August 1915) was a German doctor. He won the 1908 Nobel Prize in Physiology or Medicine, with Ilya Mechnikov, for finding out how immunity fights disease."
Citric acid cycle,"The Krebs cycle (or citric acid cycle) is a part of cellular respiration. Named after Hans Krebs, it is a series of chemical reactions used by all aerobic organisms to generate energy. Its importance to many biochemical pathways suggests that it was one of the earliest parts of cellular metabolism to evolve."
Corpus callosum,The corpus callosum (call ō sum) is the largest connective pathway in a human brain. It is made of more than 200 million nerve fibers that connect the left and right sides (hemispheres) of the brain.
Klinefelter syndrome,"Klinefelter syndrome, 47, XXY, or XXY syndrome is when people have an extra number of X chromosomes. People who have Klinefelter's Syndrome are often called ""XXY Males"", or ""47, XXY Males"". Other males can have Klinefelter's Syndrome as well (for example, mice). Males who have this condition are almost always infertile. This means that they cannot father babies."
Cytokinesis,Cytokinesis is the division of cells after either mitosis or meiosis I and II.
Adrenal gland,"The adrenal gland is a gland in most mammals. It is near the kidneys. Its name tells its position (ad – ""near"", and renes – ""kidneys"")."
Cnidaria,"Cnidaria is a phylum with about 11,000 species of animals. All of them are simple and aquatic, and most of them live in the sea. Some are colonial, composed of zooids which may be clones. Cnidarian zooids may take the form of polyps or medusae at different phases of their life."
Double bond,"A double bond in chemistry is when two chemical elements are joined together in a chemical bond and share four bonding electrons instead of the usual two. The most common double bond is between two carbon atoms, and can be found in alkenes. There are many types of double bonds, such as in a carbonyl group with a carbon atom and an oxygen atom. Other common double bonds are found in azo compounds (N=N), imines (C=N) and sulfoxides (S=O). In skeletal formula the double bond is shown as two parallel lines (=) between the two joined atoms. When this formula is printed, the equals sign is used."
Polyploid,"Ploidy is a term from genetics and cell biology. It is used to indicate the number of chromosome sets in a cell. Most eukaryotes have either one set (called haploid) or two sets (called diploid). Some other organisms are polyploid, they have more than two sets of chromosomes. Some amphibians are triploid, with 3 sets. The endosperm cells in the seeds of many plants are also triploid. Some kinds of trout or salmon have 4 sets (tetraploid). Other examples:"
Pons,"The pons is part of the hindbrain, the ancient rear part of the brain. It acts as a bridge, and has nerve fibres connecting the cerebellum to the medulla oblongata. In humans it is above the medulla and below the midbrain."
Thiamine,Thiamine or thiamin or vitamin B1 is a water-soluble vitamin of the B complex. It was first named aneurin for the detrimental neurological effects if not present in the diet. It eventually got the generic descriptor name vitamin B1. Its phosphate derivatives are involved in many cellular processes. Lack of thiamine causes Beriberi.
Nucleolus,"A nucleolus (plural: nucleoli) is the part of a eukaryote cell where ribosomes are made. Viewed through a microscope, the nucleolus appears as a dark spot inside the cell's nucleus. It is made up of dense RNA and proteins. Prokaryote cells have ribosomes, but they don't make as many as eukaryotes do, and there is no visible nucleolus. There is usually more than one nucleolus in a eukaryote cell."
Mitosis,"Mitosis is part of the cycle of cell division. The chromosomes of a cell are copied to make two identical sets of chromosomes, and the cell nucleus divides into two identical nuclei."
Reverse transcriptase,A reverse transcriptase is an enzyme which works 'backwards' from RNA to DNA. Normal transcription involves the synthesis of RNA from DNA; reverse transcription is the reverse of this. It is a DNA polymerase enzyme that transcribes single-stranded RNA into single-stranded DNA. It also synthesizes a second strand of DNA complementary to the reverse-transcribed single-stranded cDNA.
